Team,WIN %,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,ERA,H ALLOWED,HR ALLOWED,BB ALLOWED,SO FOR,WHIP,AVG AGAINST
Los Angeles Dodgers,0.605,842,1423,291,26,233,815,602,1336,136,23,0.258,0.335,0.446,0.781,3.9,1273,198,501,1390,1.23,0.235
Philadelphia Phillies,0.586,784,1423,285,24,198,750,515,1370,148,30,0.257,0.325,0.425,0.75,3.85,1339,181,444,1433,1.24,0.243
New York Yankees,0.58,815,1352,243,15,237,782,672,1326,88,26,0.248,0.333,0.429,0.762,3.74,1272,181,533,1457,1.24,0.233
Milwaukee Brewers,0.574,777,1359,249,33,177,742,597,1459,217,42,0.248,0.326,0.403,0.729,3.65,1289,196,494,1373,1.23,0.237
San Diego Padres,0.574,760,1456,259,18,190,726,458,1077,120,28,0.263,0.324,0.42,0.744,3.86,1296,169,462,1453,1.22,0.238
Cleveland Guardians,0.571,708,1263,245,18,185,670,466,1196,148,46,0.238,0.307,0.395,0.702,3.61,1224,179,492,1410,1.2,0.23
Baltimore Orioles,0.562,786,1391,262,33,235,759,489,1359,98,25,0.25,0.315,0.435,0.75,3.94,1303,175,481,1380,1.24,0.238
Arizona Diamondbacks,0.549,886,1452,271,37,211,845,569,1265,119,30,0.263,0.337,0.44,0.777,4.62,1468,181,481,1313,1.35,0.262
Atlanta Braves,0.549,704,1333,273,15,213,674,485,1461,69,20,0.243,0.309,0.415,0.724,3.49,1277,150,449,1553,1.2,0.236
New York Mets,0.549,768,1357,279,15,207,735,514,1382,106,22,0.246,0.319,0.415,0.734,3.96,1232,165,586,1455,1.26,0.23
Houston Astros,0.547,740,1448,264,16,190,701,448,1176,93,24,0.262,0.322,0.418,0.74,3.74,1238,183,544,1479,1.24,0.231
Detroit Tigers,0.531,682,1273,244,47,162,656,476,1461,76,24,0.234,0.3,0.385,0.685,3.61,1265,159,416,1354,1.16,0.233
Kansas City Royals,0.531,735,1343,264,35,170,711,429,1161,134,31,0.248,0.306,0.403,0.709,3.76,1303,146,472,1339,1.24,0.241
Seattle Mariners,0.525,676,1195,228,13,185,642,571,1625,140,28,0.224,0.311,0.376,0.687,3.49,1174,183,369,1416,1.08,0.22
Chicago Cubs,0.512,736,1318,253,29,170,696,546,1362,143,30,0.242,0.317,0.393,0.71,3.78,1302,181,485,1348,1.25,0.239
St. Louis Cardinals,0.512,672,1363,257,21,165,639,478,1318,91,29,0.248,0.312,0.392,0.704,4.04,1363,174,454,1308,1.26,0.249
Minnesota Twins,0.506,742,1352,309,23,183,702,473,1306,65,23,0.246,0.315,0.411,0.726,4.26,1333,190,433,1500,1.23,0.242
Boston Red Sox,0.5,751,1404,311,30,194,724,493,1570,144,44,0.252,0.319,0.423,0.742,4.04,1363,189,461,1353,1.26,0.246
San Francisco Giants,0.494,693,1303,266,30,177,661,492,1452,68,22,0.239,0.305,0.396,0.701,4.1,1339,153,526,1436,1.3,0.246
Tampa Bay Rays,0.494,604,1241,245,23,147,564,493,1485,178,53,0.23,0.302,0.366,0.668,3.77,1286,196,445,1406,1.2,0.236
Texas Rangers,0.481,683,1302,220,15,176,652,490,1284,97,25,0.238,0.305,0.38,0.685,4.35,1323,198,530,1371,1.3,0.243
Cincinnati Reds,0.475,699,1230,257,29,174,663,496,1459,207,45,0.231,0.305,0.388,0.693,4.09,1302,196,487,1370,1.25,0.239
Pittsburgh Pirates,0.469,665,1283,236,17,160,643,485,1506,106,19,0.234,0.301,0.371,0.672,4.15,1369,166,515,1356,1.31,0.25
Toronto Blue Jays,0.457,671,1306,280,26,156,640,510,1233,72,16,0.241,0.313,0.389,0.702,4.29,1316,208,503,1314,1.27,0.243
Washington Nationals,0.438,660,1306,267,18,135,621,456,1220,223,73,0.243,0.309,0.375,0.684,4.3,1429,168,473,1314,1.33,0.258
Oakland Athletics,0.426,643,1267,240,19,196,619,493,1502,98,26,0.233,0.301,0.393,0.694,4.37,1385,169,530,1263,1.33,0.253
Los Angeles Angels,0.389,635,1227,227,15,165,596,482,1416,133,50,0.229,0.301,0.369,0.67,4.56,1328,202,601,1252,1.35,0.246
Miami Marlins,0.383,637,1347,243,23,150,611,403,1410,125,43,0.244,0.3,0.378,0.678,4.73,1431,195,556,1317,1.38,0.257
Colorado Rockies,0.377,682,1319,277,25,179,655,453,1617,85,31,0.242,0.304,0.4,0.704,5.47,1604,221,563,1118,1.52,0.285
Chicago White Sox,0.253,507,1187,226,9,133,485,395,1403,90,33,0.221,0.278,0.34,0.618,4.67,1397,201,643,1366,1.44,0.255
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
